ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,53,C:\Windows\system32\sppsvc.exe,2010-11-21 03:23:56+00:00,Yes,False,win7_files\SYSTEM
1,14,C:\Windows\system32\mstsc.exe,2010-11-21 03:23:56+00:00,No,False,win7_files\SYSTEM
1,5,C:\Windows\System32\zipfldr.dll,2010-11-21 03:24:01+00:00,No,False,win7_files\SYSTEM
2,5,C:\Windows\System32\zipfldr.dll,2010-11-21 03:24:01+00:00,No,True,win7_files\SYSTEM
1,24,C:\Windows\SysWOW64\ntshrui.dll,2010-11-21 03:24:01+00:00,No,False,win7_files\SYSTEM
2,24,C:\Windows\SysWOW64\ntshrui.dll,2010-11-21 03:24:01+00:00,No,True,win7_files\SYSTEM
1,44,C:\Windows\System32\networkexplorer.dll,2010-11-21 03:24:02+00:00,No,False,win7_files\SYSTEM
2,44,C:\Windows\System32\networkexplorer.dll,2010-11-21 03:24:02+00:00,No,True,win7_files\SYSTEM
1,96,C:\Windows\servicing\TrustedInstaller.exe,2010-11-21 03:24:03+00:00,Yes,False,win7_files\SYSTEM
2,96,C:\Windows\servicing\TrustedInstaller.exe,2010-11-21 03:24:03+00:00,Yes,True,win7_files\SYSTEM
2,31,C:\Windows\SysWOW64\shdocvw.dll,2010-11-21 03:24:07+00:00,No,True,win7_files\SYSTEM
1,31,C:\Windows\SysWOW64\shdocvw.dll,2010-11-21 03:24:07+00:00,No,False,win7_files\SYSTEM
2,33,C:\Windows\system32\consent.exe,2010-11-21 03:24:08+00:00,Yes,True,win7_files\SYSTEM
2,54,C:\Windows\system32\taskhost.exe,2010-11-21 03:24:08+00:00,Yes,True,win7_files\SYSTEM
1,33,C:\Windows\system32\consent.exe,2010-11-21 03:24:08+00:00,Yes,False,win7_files\SYSTEM
1,54,C:\Windows\system32\taskhost.exe,2010-11-21 03:24:08+00:00,Yes,False,win7_files\SYSTEM
2,23,C:\Windows\SysWOW64\zipfldr.dll,2010-11-21 03:24:09+00:00,No,True,win7_files\SYSTEM
1,23,C:\Windows\SysWOW64\zipfldr.dll,2010-11-21 03:24:09+00:00,No,False,win7_files\SYSTEM
1,0,C:\Windows\system32\LogonUI.exe,2010-11-21 03:24:09+00:00,Yes,False,win7_files\SYSTEM
2,0,C:\Windows\system32\LogonUI.exe,2010-11-21 03:24:09+00:00,Yes,True,win7_files\SYSTEM
1,10,C:\Windows\Explorer.EXE,2010-11-21 03:24:11+00:00,Yes,False,win7_files\SYSTEM
2,10,C:\Windows\Explorer.EXE,2010-11-21 03:24:11+00:00,Yes,True,win7_files\SYSTEM
2,30,C:\Windows\system32\wbem\wmiprvse.exe,2010-11-21 03:24:15+00:00,Yes,True,win7_files\SYSTEM
2,102,C:\Windows\WinSxS\amd64_netfx-clrgc_b03f5f7f11d50a3a_6.1.7601.17514_none_ad7a390fa131c970\clrgc.exe,2010-11-21 03:24:15+00:00,Yes,True,win7_files\SYSTEM
1,30,C:\Windows\system32\wbem\wmiprvse.exe,2010-11-21 03:24:15+00:00,Yes,False,win7_files\SYSTEM
1,102,C:\Windows\WinSxS\amd64_netfx-clrgc_b03f5f7f11d50a3a_6.1.7601.17514_none_ad7a390fa131c970\clrgc.exe,2010-11-21 03:24:15+00:00,Yes,False,win7_files\SYSTEM
1,7,C:\Windows\System32\twext.dll,2010-11-21 03:24:16+00:00,No,False,win7_files\SYSTEM
1,52,C:\Windows\system32\slui.exe,2010-11-21 03:24:16+00:00,Yes,False,win7_files\SYSTEM
2,52,C:\Windows\system32\slui.exe,2010-11-21 03:24:16+00:00,Yes,True,win7_files\SYSTEM
2,7,C:\Windows\System32\twext.dll,2010-11-21 03:24:16+00:00,No,True,win7_files\SYSTEM
1,103,C:\Windows\bfsvc.exe,2010-11-21 03:24:22+00:00,Yes,False,win7_files\SYSTEM
2,103,C:\Windows\bfsvc.exe,2010-11-21 03:24:22+00:00,Yes,True,win7_files\SYSTEM
1,4,C:\Windows\System32\acppage.dll,2010-11-21 03:24:23+00:00,No,False,win7_files\SYSTEM
2,4,C:\Windows\System32\acppage.dll,2010-11-21 03:24:23+00:00,No,True,win7_files\SYSTEM
2,100,C:\Windows\system32\oobe\windeploy.exe,2010-11-21 03:24:24+00:00,Yes,True,win7_files\SYSTEM
